video-codec                   	         4	0.00%
108-newcomers                 	         4	0.00%
isms                          	         4	0.00%
mentoring-coordinators        	         4	0.00%
scuba-ag                      	         4	0.00%
link-relations                	         4	0.00%
geojson                       	         4	0.00%
internetgovtech               	         3	0.00%
rohc                          	         3	0.00%
softwires                     	         3	0.00%
mailsec                       	         3	0.00%
core-parameters               	         2	0.00%
mathmesh                      	         2	0.00%
trill                         	         2	0.00%
ipr-wg                        	         2	0.00%
tzdist-bis                    	         2	0.00%
ntpwg                         	         2	0.00%
forces                        	         2	0.00%
pppext                        	         2	0.00%
dbound                        	         2	0.00%
rtcweb                        	         2	0.00%
vcarddav                      	         2	0.00%
svt                           	         2	0.00%
caris-attendees               	         1	0.00%
emserv-discuss                	         1	0.00%
inip-discuss                  	         1	0.00%
iotsi                         	         1	0.00%
marnew                        	         1	0.00%
privsec-discuss               	         1	0.00%
stackevo-discuss              	         1	0.00%
i-d-announce                  	         1	0.00%
emo-dir                       	         1	0.00%
ietf-runners                  	         1	0.00%
testlist                      	         1	0.00%
webdav                        	         1	0.00%
ops-area                      	         1	0.00%
icalendar                     	         1	0.00%
routing-discussion            	         1	0.00%
aqm                           	         1	0.00%
http-state                    	         1	0.00%
sipping                       	         1	0.00%
xmpp                          	         1	0.00%
webauthn-reg-review           	         1	0.00%
clue                          	         1	0.00%
ietf-nomcom                   	         1	0.00%
precis                        	         1	0.00%
ham-ag                        	         1	0.00%
ietf-privacy                  	         1	0.00%
dtls-iot                      	         1	0.00%
hybi                          	         1	0.00%
qlog                          	         1	0.00%
ietf-message-headers          	         1	0.00%
ldapext                       	         1	0.00%
modern                        	         1	0.00%
nethistory                    	         1	0.00%
